INPUT,REF,OUTPUT,LABEL,BLEU
das ist nichts neues,thats nothing new,thats is a,1,0.6
tom ist maria schon den ganzen tag aus dem weg gegangen,tom has been avoiding mary all day,tom was at at at,0,0.375
ich stimme ihnen vollkommen zu,i agree with you absolutely,i agree agree you,0,0.5294117647058824
wissen sie noch was ich ihnen beigebracht habe,do you remember what i taught you,do you know you know you,0,0.25
ich hoffe dich nachstes jahr wiederzusehen,hope to see you again next year,i hope you can you,0,0.5555555555555556
glaubst du an feen,do you believe in fairies,do you think a,1,0.5714285714285714
ich komme um halb sieben zuruck,ill return at,ill back back soon,1,0.2777777777777778
sie sind besturzt,theyre upset,youre upset,1,0.7272727272727273
ich lerne franzosisch,im learning french,i learning french,1,0.6470588235294118
mein vater ist zuhause,my father is in,my house is home,1,0.4375
tom ist unser altestes mitglied,tom is our oldest member,tom is our oldest,1,0.6470588235294118
kaum jemand liest mein netztagebuch,hardly anyone reads my blog,tell said like his,0,0.3888888888888889
er schoss auf mich,he shot at me,he came me me,1,0.38461538461538464
ich denke nicht dass du verruckt bist,i dont think youre crazy,i dont you you,0,0.5714285714285714
ich verlie den raum,i left the room,i am the room,1,0.6153846153846154
mach es nicht davon abhangig,dont depend on it,dont it it it,1,0.46153846153846156
er starb als glucklicher mann,he died a happy man,he died a man man,1,0.47058823529411764
ihr wusstet dass ich bescheid wusste,you knew i knew,you said i know said,1,0.4
sie hat die neigung andere schlechtzureden,she tends to speak ill of others,she is the,0,0.6
wir sind gartner,were gardeners,were persevering,1,0.4375
jetzt seid ihr dran,now its your turn,now your your now,1,0.4117647058823529
ein pferd kann sehr schnell rennen,a horse can run very fast,a dog has be fast,1,0.47058823529411764
tom will mit maria sprechen,tom wants to have a talk with mary,tom wants to to to,0,0.4444444444444444
denkt sorgfaltig nach bevor ihr antwortet,think carefully before answering,look you come at,0,0.625
es ist ein weiter weg bis zur stadt,it is long way to the town,its a to to to to,0,0.35294117647058826
ich wei wer tom ermordet hat,i know who killed tom,i know know tom tom,1,0.42105263157894735
tom kocht nicht gut,tom isnt a good cook,tom isnt good good,1,0.5
nicht eine einzige wolke war am himmel,there was not a cloud in the sky,dont a a a a,0,0.5
wir hatten viele mobel,we had a lot of furniture,we had many,0,0.6363636363636364
er wurde von furcht ergriffen,he was seized with fear,he was almost to death,1,0.36363636363636365
sie ist von natur aus schwach,she is weak by nature,shes is a and,1,0.5384615384615384
ich werde ihnen die stadt zeigen,i will show you around the city,ill let you my my,0,0.47058823529411764
der grund hierfur liegt auf der hand,the reason for this is plain,this is is to,0,0.46153846153846156
denkt nicht einmal daran,dont even think about it,dont do think that,1,0.5
wer ist dein lieblingsautor,who is your favorite author,whos is,0,0.8571428571428571
chen ist kein geschaftsmann,chen is not a businessperson,isnt it,0,0.7142857142857143
er hat ein paar alte lieder gesungen,he sang some old songs,he died a few few,1,0.29411764705882354
versprich mir dass du das nie wieder tun wirst,promise me you wont do that again,we never me you,0,0.6
wir freuen uns fur dich,were very happy for you,we were of with you,1,0.47368421052631576
tom und maria sind beide dreiig,tom and mary are both thirty,tom and mary and mad,0,0.45
sie wurde von einem auto angefahren,she was hit by a car,she was a to a,1,0.5
seine geschichte kann nicht stimmen,his story cant be true,his story cant be true,1,0.6363636363636364
sie kamen hand in hand,they went hand in hand,she broke on hand,1,0.35294117647058826
tom schamt sich dessen was er tat,tom is embarrassed by what he did,tom is what told,0,0.625
ich kann dich das lesen lehren,i can teach you how to read,i can you you you,0,0.47058823529411764
ich habe dich verkannt,i have misjudged you,i owe you,1,0.6666666666666666
tom hat mich gebeten euch das zu geben,tom asked me to give this to you,tom told me to to,0,0.35294117647058826
verpiss dich,go away,get away,1,0.625
ich trinke nie,i never drink,i never escape,1,0.42857142857142855
sprich mich nie wieder an,never speak to me again,dont tell me me,1,0.4
hast du zu mittag gegessen,have you eaten lunch,did you eaten eaten,1,0.42105263157894735
das war unuberlegt von tom nicht wahr,tom was thoughtless wasnt he,tom was not all tom,0,0.47368421052631576
ich gehe nicht zu deinem haus,im not going to your house,i dont go to bed,0,0.4375
scher dich weg,get lost,get away,1,0.5
er hat die tur wei uberstrichen,he painted the door over white,he opened the door,0,0.5
wenn ich nur auto fahren konnte,if only i could drive a car,may i know want to want,0,0.2608695652173913
vielleicht kann ich dir helfen,i may be able to help you,maybe i can help you,0,0.6
er nickte ihr billigend zu,he gave her an approving nod,he loves to you,0,0.3333333333333333
ich bin eifersuchtig,im jealous,im am,1,0.8
geht ihr auch,will you go too,do you miss,1,0.45454545454545453
sie scheint krank gewesen zu sein,she seems to have been ill,she seems be be,0,0.4
sie buchte ein zimmer,she reserved a room,she is a room,1,0.6153846153846154
ich lerne turkisch,i am learning turkish,im learning turkish,1,0.7368421052631579
diese katzenart hat keinen schwanz,this type of cat has no tail,this doesnt no,0,0.5714285714285714
versucht es so gut ihr konnt,try as hard as you can,well do do be,1,0.23076923076923078
es sieht aus als ob es zu regnen beginnt,it looks like its going to rain,it seems to to,0,0.42857142857142855
nimms leicht,take it easy,is it,1,0.8
tom konnte kanadier sein,tom might be canadian,tom might be,1,0.75
sie wohnen dort,they live there,they live there,1,0.6
gefallt es dir denn,do you like it then,do you like it,1,0.7142857142857143
dieser film ist sehenswert,this movie is worth seeing,this dog is,0,0.6363636363636364
sie waren zu erschopft um zu kampfen,they were too tired to fight,they were to to,0,0.5333333333333333
niemand wird dir etwas antun,no one will hurt you,no one will you you,1,0.47368421052631576
wo ist mein terminkalender,wheres my diary,wheres my my,1,0.6666666666666666
nixon wurde in kalifornien geboren,nixon was born in california,was was was be,0,0.3571428571428572
