The printer needs paper.	Der Drucker braucht Papier.
The rabbi is on his way.	Der Rabbi ist auf dem Weg.
The radio is a bit loud.	Das Radio ist ein bisschen laut.
The rain turned to snow.	Der Regen wurde zu Schnee.
The risks are too great.	Die Risiken sind zu groß.
The river was beautiful.	Der Fluss war schön.
The road was very bumpy.	Die Straße war sehr holperig.
The room is quite small.	Das Zimmer ist ziemlich klein.
The rumor can't be true.	Das Gerücht kann nicht stimmen.
The sea level is rising.	Der Meeresspiegel steigt.
The serpent tempted Eve.	Die Schlange versuchte Eva.
The ship dropped anchor.	Das Schiff setzte seinen Anker.
The shower doesn't work.	Die Dusche ist kaputt.
The sky is getting dark.	Der Himmel wird dunkel.
The sky is getting dark.	Der Himmel verdunkelt sich.
The sky will clear soon.	Der Himmel wird bald aufklaren.
The sky will soon clear.	Der Himmel wird bald aufklaren.
The smell was offensive.	Der Geruch war widerlich.
The students seem bored.	Die Schüler scheinen sich zu langweilen.
The sun is about to set.	Die Sonne geht bald unter.
The tea costs two euros.	Der Tee kostet zwei Euro.
The town fell into ruin.	Die Stadt zerfiel.
The town fell into ruin.	Die Stadt verfiel.
The toy store is closed.	Der Spielzeugladen ist geschlossen.
The toy store is closed.	Der Spielwarenladen ist geschlossen.
The train began to move.	Der Zug setzte sich in Bewegung.
The train leaves at six.	Der Zug fährt um sechs.
The tree grew very tall.	Der Baum wuchs sehr hoch.
The tree was blown down.	Der Baum ist umgeweht worden.
The trees were in a row.	Die Bäume standen in einer Reihe.
The two men shook hands.	Die beiden Männer gaben sich die Hand.
The universe is endless.	Das Universum ist grenzenlos.
The waiter was insolent.	Der Kellner war unverschämt.
The walls are very thin.	Die Wände sind sehr dünn.
The war in Europe ended.	Der Krieg in Europa endete.
The water began to boil.	Das Wasser hat angefangen zu kochen.
The water turned to ice.	Das Wasser gefror.
The weather is very bad.	Das Wetter ist sehr schlecht.
The wheel began to turn.	Das Rad begann sich zu drehen.
The world isn't perfect.	Die Welt ist nicht vollkommen.
Their car overtook ours.	Ihr Auto überholte unseres.
Their muscles are stiff.	Ihre Muskeln sind hart.
There are no women here.	Es gibt hier keine Frauen.
There comes our teacher.	Da kommt unser Lehrer.
There is a fork missing.	Eine Gabel fehlt.
There is a fork missing.	Es fehlt eine Gabel.
There is a lot of money.	Da liegt viel Geld.
There is a page missing.	Es fehlt eine Seite.
There is no easy answer.	Es gibt da keine einfache Antwort.
There is plenty of food.	Es gibt reichlich zu essen.
There was a lot of snow.	Es gab viel Schnee.
There was only one left.	Nur einer war noch da.
There were many wounded.	Es gab viele Verletzte.
There were no railroads.	Es gab keine Eisenbahnschienen.
There were no survivors.	Es gab keine Überlebenden.
There were no survivors.	Es gibt keine Überlebenden.
There won't be a choice.	Es wird keine Wahl geben.
There's a bus stop here.	Hier gibt es eine Bushaltestelle.
There's a postcard here.	Hier ist eine Postkarte.
There's a sick man here.	Hier ist ein kranker Mann.
There's got to be a way.	Es muss einen Weg geben.
There's got to be a way.	Es muss eine Möglichkeit geben.
There's no need to wait.	Es muss nicht gewartet werden.
There's no toilet paper.	Es ist kein Toilettenpapier da.
There's no turning back.	Es gibt kein Zurück mehr.
There's not much to say.	Es gibt nicht viel zu sagen.
There's snow everywhere.	Überall gibt es Schnee!
There's something wrong.	Da stimmt etwas nicht.
These apples taste good.	Diese Äpfel schmecken gut.
These are the originals.	Hier sind die Originale.
These are the originals.	Das hier sind die Originale.
These dirty socks stink.	Diese schmutzigen Socken stinken.
These grapes taste sour.	Diese Weintrauben schmecken sauer.
These keys are not mine.	Das sind nicht meine Schlüssel.
These scissors cut well.	Diese Schere schneidet gut.
These shoes fit my feet.	Diese Schuhe passen meinen Füßen.
These snails are edible.	Diese Schnecken kann man essen.
They abandoned the plan.	Sie verwarfen den Plan.
They abandoned the ship.	Sie haben das Schiff aufgegeben.
They admired each other.	Sie bewunderten einander.
They allow parking here.	Parken ist hier gestattet.
They always skip school.	Sie schwänzen immer die Schule.
They are all very happy.	Sie sind alle sehr glücklich.
They are deeply in love.	Sie lieben einander sehr.
They are gathering nuts.	Sie sammeln Nüsse.
They are going shopping.	Sie gehen einkaufen.
They are making a salad.	Sie machen einen Salat.
They are my old friends.	Sie sind meine alten Freunde.
They are my old friends.	Das sind meine alten Freunde.
They are older than Tom.	Sie sind älter als Tom.
They are sensible girls.	Sie sind vernünftige Mädchen.
They are still children.	Sie sind noch Kinder.
They arrived before you.	Sie sind vor dir angekommen.
They ate and drank wine.	Sie aßen und tranken Wein.
They ate lunch together.	Sie aßen zusammen zu Mittag.
They attacked the enemy.	Sie haben den Gegner angegriffen.
They attacked the enemy.	Sie griffen den Feind an.
They attend every class.	Sie besuchen jede Unterrichtsstunde.
They both got here late.	Sie kamen beide zu spät hier an.
They both laughed again.	Beide lachten wieder.
They chased others away.	Sie jagten andere fort.
They don't have to know.	Sie müssen es nicht wissen.
They don't know my name.	Sie wissen meinen Namen nicht.
They entered the jungle.	Sie gingen in den Urwald hinein.
They forgot my birthday.	Sie haben meinen Geburtstag vergessen.
They fought for freedom.	Sie kämpften für Freiheit.
They freed the prisoner.	Sie befreiten den Gefangenen.
They got here yesterday.	Gestern kamen sie hier an.
They got into the train.	Sie stiegen in den Zug ein.
They had a pillow fight.	Sie veranstalteten eine Kissenschlacht.
They had no place to go.	Sie konnten nirgendwo hingehen.
They had only one child.	Sie hatten nur ein Kind.
They have a large house.	Sie haben ein großes Haus.
They have already begun.	Sie haben schon angefangen.
They have already begun.	Sie haben bereits begonnen.
They have already begun.	Sie haben schon losgelegt.
They have many students.	Sie haben viele Studenten.
They have two daughters.	Sie haben zwei Töchter.
They kissed in the rain.	Sie küssten sich im Regen.
They know what happened.	Sie wissen, was passiert ist.
They lived a happy life.	Sie führten ein glückliches Leben.
They lived a happy life.	Sie haben ein glückliches Leben geführt.
They looked at me funny.	Sie schauten mich komisch an.
They moved ahead slowly.	Sie bewegten sich langsam vorwärts.
They needed one another.	Sie benötigten einander.
They never did anything.	Sie haben nie etwas getan.
They offered assistance.	Sie boten Unterstützung an.
They refused to help us.	Sie weigerten sich, uns zu helfen.
They rejected your plan.	Sie lehnten deinen Plan ab.
They say he's very rich.	Man sagt, er ist sehr reich.
They say he's very rich.	Er soll sehr reich sein.
They set out for London.	Sie sind nach London aufgebrochen.
They sound disappointed.	Sie klingen enttäuscht.
They think it was arson.	Sie glauben, es war Brandstiftung.
They walked two abreast.	Sie liefen in Zweierreihen.
They went rock climbing.	Sie sind zum Felsklettern gegangen.
They were in the shower.	Sie standen unter der Dusche.
They were not impressed.	Sie waren nicht beeindruckt.
They were put in prison.	Sie wurden ins Gefängnis gesteckt.
They were very confused.	Sie waren sehr verwirrt.
They will agree on that.	Sie werden damit einverstanden sein.
They work in the fields.	Sie arbeiten auf den Feldern.
They're going to attack.	Sie werden angreifen.
They're looking for Tom.	Sie suchen Tom.
They're looking for Tom.	Sie suchen nach Tom.
They're looking for you.	Sie sind auf der Suche nach dir.
They're looking for you.	Sie suchen dich gerade.
They're looking for you.	Sie sind gerade auf der Suche nach dir.
They're not coming back.	Sie werden nicht zurückkommen.
They're right behind me.	Sie sind gleich hinter mir.
They're self sufficient.	Sie sind autark.
They're self sufficient.	Sie sind wirtschaftlich unabhängig.
They're self sufficient.	Sie sind ökonomisch unabhängig.
They're self sufficient.	Sie versorgen sich gänzlich auf sich gestellt.
They're still available.	Sie stehen noch zu Verfügung.
They're towing your car.	Dein Wagen wird gerade abgeschleppt.
They're towing your car.	Ihr Wagen wird gerade abgeschleppt.
They're up to something.	Die führen irgendwas im Schilde.
They're very successful.	Sie sind sehr erfolgreich.
They're waiting for you.	Sie warten auf dich.
They're waiting for you.	Sie warten auf Sie.
They're waiting for you.	Sie warten auf euch.
They've found survivors.	Sie haben Überlebende gefunden.
They've missed the boat.	Der Zug ist abgefahren.
Things are looking good.	Das sieht gut aus.
Things like that happen.	So etwas passiert nun mal.
Think about what I said.	Denken Sie darüber nach, was ich gesagt habe.
Think about what I said.	Denkt darüber nach, was ich gesagt habe.
Think about what I said.	Denk darüber nach, was ich gesagt habe!
Think about your future.	Denke an deine Zukunft!
